700 244650
0 1 4
0 2 7
0 3 8
0 4 6
0 5 4
0 6 6
0 7 7
0 8 3
0 9 10
0 10 2
0 11 3
0 12 8
0 13 1
0 14 10
0 15 4
0 16 7
0 17 1
0 18 7
0 19 3
0 20 7
0 21 2
0 22 9
0 23 8
0 24 10
0 25 3
0 26 1
0 27 3
0 28 4
0 29 8
0 30 6
0 31 10
0 32 3
0 33 3
0 34 9
0 35 10
0 36 8
0 37 4
0 38 7
0 39 2
0 40 3
0 41 10
0 42 4
0 43 2
0 44 10
0 45 5
0 46 8
0 47 9
0 48 5
0 49 6
0 50 1
0 51 4
0 52 7
0 53 2
0 54 1
0 55 7
0 56 4
0 57 3
0 58 1
0 59 7
0 60 2
0 61 6
0 62 6
0 63 5
0 64 8
0 65 7
0 66 6
0 67 7
0 68 10
0 69 4
0 70 8
0 71 5
0 72 6
0 73 3
0 74 6
0 75 5
0 76 8
0 77 5
0 78 5
0 79 4
0 80 1
0 81 8
0 82 9
0 83 7
0 84 9
0 85 9
0 86 5
0 87 4
0 88 2
0 89 5
0 90 10
0 91 3
0 92 1
0 93 7
0 94 9
0 95 10
0 96 3
0 97 7
0 98 7
0 99 5
0 100 10
0 101 6
0 102 1
0 103 5
0 104 9
0 105 8
0 106 2
0 107 8
0 108 3
0 109 8
0 110 3
0 111 3
0 112 7
0 113 2
0 114 1
0 115 7
0 116 2
0 117 6
0 118 10
0 119 5
0 120 10
0 121 1
0 122 10
0 123 2
0 124 8
0 125 8
0 126 2
0 127 2
0 128 6
0 129 10
0 130 8
0 131 8
0 132 7
0 133 8
0 134 4
0 135 7
0 136 6
0 137 7
0 138 4
0 139 10
0 140 5
0 141 9
0 142 2
0 143 3
0 144 10
0 145 4
0 146 10
0 147 1
0 148 9
0 149 9
0 150 6
0 151 1
0 152 10
0 153 7
0 154 4
0 155 9
0 156 6
0 157 7
0 158 2
0 159 2
0 160 6
0 161 10
0 162 9
0 163 5
0 164 9
0 165 2
0 166 1
0 167 4
0 168 1
0 169 5
0 170 5
0 171 5
0 172 5
0 173 8
0 174 7
0 175 4
0 176 2
0 177 8
0 178 6
0 179 10
0 180 7
0 181 3
0 182 2
0 183 8
0 184 9
0 185 6
0 186 8
0 187 5
0 188 2
0 189 9
0 190 6
0 191 10
0 192 8
0 193 6
0 194 4
0 195 9
0 196 9
0 197 4
0 198 2
0 199 9
0 200 10
0 201 7
0 202 5
0 203 4
0 204 4
0 205 4
0 206 9
0 207 7
0 208 1
0 209 5
0 210 9
0 211 9
0 212 9
0 213 10
0 214 8
0 215 8
0 216 7
0 217 5
0 218 4
0 219 1
0 220 4
0 221 1
0 222 10
0 223 3
0 224 6
0 225 5
0 226 1
0 227 6
0 228 10
0 229 5
0 230 7
0 231 10
0 232 3
0 233 3
0 234 5
0 235 8
0 236 8
0 237 6
0 238 5
0 239 9
0 240 2
0 241 3
0 242 9
0 243 10
0 244 4
0 245 7
0 246 9
0 247 1
0 248 3
0 249 2
0 250 1
0 251 6
0 252 2
0 253 2
0 254 1
0 255 9
0 256 6
0 257 1
0 258 7
0 259 5
0 260 7
0 261 3
0 262 6
0 263 9
0 264 7
0 265 3
0 266 9
0 267 5
0 268 8
0 269 3
0 270 5
0 271 1
0 272 7
0 273 3
0 274 10
0 275 10
0 276 1
0 277 9
0 278 2
0 279 4
0 280 2
0 281 2
0 282 1
0 283 4
0 284 5
0 285 1
0 286 4
0 287 10
0 288 2
0 289 10
0 290 7
0 291 10
0 292 4
0 293 4
0 294 9
0 295 1
0 296 6
0 297 7
0 298 7
0 299 5
0 300 1
0 301 1
0 302 5
0 303 7
0 304 3
0 305 7
0 306 8
0 307 6
0 308 7
0 309 10
0 310 9
0 311 8
0 312 3
0 313 9
0 314 3
0 315 10
0 316 10
0 317 7
0 318 1
0 319 3
0 320 8
0 321 7
0 322 2
0 323 4
0 324 3
0 325 2
0 326 6
0 327 10
0 328 10
0 329 2
0 330 5
0 331 10
0 332 2
0 333 1
0 334 8
0 335 6
0 336 9
0 337 8
0 338 1
0 339 5
0 340 9
0 341 1
0 342 5
0 343 3
0 344 10
0 345 7
0 346 2
0 347 1
0 348 5
0 349 3
0 350 3
0 351 3
0 352 1
0 353 6
0 354 6
0 355 3
0 356 10
0 357 1
0 358 3
0 359 9
0 360 4
0 361 9
0 362 1
0 363 5
0 364 1
0 365 10
0 366 2
0 367 10
0 368 7
0 369 3
0 370 6
0 371 5
0 372 5
0 373 10
0 374 10
0 375 4
0 376 7
0 377 1
0 378 6
0 379 1
0 380 3
0 381 10
0 382 5
0 383 4
0 384 6
0 385 2
0 386 8
0 387 5
0 388 4
0 389 2
0 390 5
0 391 7
0 392 10
0 393 5
0 394 3
0 395 3
0 396 7
0 397 5
0 398 2
0 399 3
0 400 9
0 401 9
0 402 10
0 403 3
0 404 9
0 405 9
0 406 9
0 407 7
0 408 9
0 409 4
0 410 9
0 411 4
0 412 4
0 413 4
0 414 9
0 415 1
0 416 5
0 417 8
0 418 7
0 419 9
0 420 10
0 421 1
0 422 7
0 423 9
0 424 8
0 425 10
0 426 1
0 427 4
0 428 4
0 429 4
0 430 8
0 431 4
0 432 3
0 433 7
0 434 6
0 435 3
0 436 7
0 437 6
0 438 9
0 439 8
0 440 10
0 441 7
0 442 1
0 443 5
0 444 2
0 445 1
0 446 5
0 447 9
0 448 8
0 449 1
0 450 9
0 451 7
0 452 3
0 453 5
0 454 8
0 455 10
0 456 4
0 457 10
0 458 3
0 459 9
0 460 4
0 461 1
0 462 2
0 463 8
0 464 9
0 465 10
0 466 2
0 467 6
0 468 5
0 469 10
0 470 3
0 471 6
0 472 8
0 473 5
0 474 10
0 475 10
0 476 5
0 477 6
0 478 10
0 479 4
0 480 6
0 481 8
0 482 1
0 483 9
0 484 2
0 485 10
0 486 10
0 487 8
0 488 9
0 489 3
0 490 6
0 491 4
0 492 5
0 493 10
0 494 1
0 495 3
0 496 1
0 497 2
0 498 10
0 499 7
0 500 3
0 501 2
0 502 3
0 503 1
0 504 8
0 505 4
0 506 2
0 507 2
0 508 10
0 509 1
0 510 6
0 511 7
0 512 8
0 513 8
0 514 5
0 515 1
0 516 7
0 517 5
0 518 8
0 519 5
0 520 9
0 521 6
0 522 9
0 523 3
0 524 7
0 525 1
0 526 7
0 527 7
0 528 5
0 529 7
0 530 3
0 531 9
0 532 10
0 533 7
0 534 1
0 535 8
0 536 1
0 537 2
0 538 1
0 539 2
0 540 4
0 541 8
0 542 8
0 543 3
0 544 7
0 545 5
0 546 6
0 547 3
0 548 1
0 549 3
0 550 10
0 551 1
0 552 10
0 553 10
0 554 5
0 555 6
0 556 2
0 557 1
0 558 4
0 559 8
0 560 9
0 561 9
0 562 7
0 563 1
0 564 5
0 565 7
0 566 8
0 567 7
0 568 1
0 569 10
0 570 8
0 571 6
0 572 10
0 573 8
0 574 9
0 575 6
0 576 4
0 577 4
0 578 9
0 579 4
0 580 8
0 581 10
0 582 4
0 583 8
0 584 9
0 585 8
0 586 5
0 587 2
0 588 10
0 589 1
0 590 10
0 591 9
0 592 9
0 593 6
0 594 9
0 595 5
0 596 4
0 597 8
0 598 2
0 599 4
0 600 9
0 601 1
0 602 10
0 603 8
0 604 10
0 605 10
0 606 4
0 607 3
0 608 5
0 609 4
0 610 8
0 611 2
0 612 3
0 613 3
0 614 1
0 615 3
0 616 2
0 617 8
0 618 6
0 619 2
0 620 8
0 621 5
0 622 2
0 623 8
0 624 2
0 625 2
0 626 2
0 627 8
0 628 1
0 629 5
0 630 1
0 631 9
0 632 6
0 633 2
0 634 7
0 635 7
0 636 3
0 637 2
0 638 10
0 639 7
0 640 5
0 641 9
0 642 1
0 643 9
0 644 2
0 645 1
0 646 3
0 647 3
0 648 10
0 649 8
0 650 6
0 651 7
0 652 5
0 653 7
0 654 4
0 655 8
0 656 10
0 657 8
0 658 5
0 659 10
0 660 2
0 661 8
0 662 1
0 663 7
0 664 1
0 665 9
0 666 6
0 667 4
0 668 10
0 669 5
0 670 2
0 671 6
0 672 5
0 673 2
0 674 6
0 675 6
0 676 5
0 677 10
0 678 9
0 679 4
0 680 9
0 681 6
0 682 3
0 683 3
0 684 3
0 685 8
0 686 1
0 687 4
0 688 5
0 689 7
0 690 4
0 691 7
0 692 4
0 693 4
0 694 5
0 695 5
0 696 4
0 697 10
0 698 8
0 699 3
1 2 6
1 3 9
1 4 10
1 5 1
1 6 3
1 7 5
1 8 8
1 9 7
1 10 6
1 11 8
1 12 2
1 13 4
1 14 4
1 15 4
1 16 9
1 17 6
1 18 2
1 19 1
1 20 9
1 21 8
1 22 7
1 23 4
1 24 6
1 25 1
1 26 9
1 27 1
1 28 5
1 29 2
1 30 2
1 31 4
1 32 6
1 33 10
1 34 4
1 35 5
1 36 2
1 37 6
1 38 1
1 39 9
1 40 4
1 41 6
1 42 7
1 43 6
1 44 10
1 45 10
1 46 1
1 47 8
1 48 7
1 49 4
1 50 8
1 51 7
1 52 2
1 53 6
1 54 1
1 55 7
1 56 6
1 57 1
1 58 9
1 59 2
1 60 3
1 61 3
1 62 7
1 63 10
1 64 2
1 65 1
1 66 5
1 67 3
1 68 8
1 69 5
1 70 1
1 71 4
1 72 3
1 73 9
1 74 1
1 75 4
1 76 8
1 77 1
1 78 1
1 79 4
1 80 5
